Station          IGS20 (mm/year)         CHN20 (mm/year)         NEC20 (mm/year)  
           Vel_E   Vel_N   Vel_U     Vel_E   Vel_N   Vel_U     Vel_E   Vel_N   Vel_U    
CHUN        27.4   -12.0    -0.6     -1.0     0.5    -1.3      0.2    -0.2    -0.9 
FSVO        23.3   -11.8     0.3     -2.9     1.3    -0.6     -0.7     0.3     0.2 
HECC        29.5   -11.1     0.9     -0.9    -0.6     0.4     -0.0    -0.2     0.1 
HECD        28.6   -10.6     0.9     -1.4     0.3     0.4     -0.5     0.4     0.2 
HLAR        26.5   -11.3     0.4     -1.7     0.1    -0.3      0.3     0.0    -0.1 
HLMH        24.0   -12.3    -0.8     -2.8    -0.2    -1.6     -0.3    -0.6    -1.1 
HLWD        24.8   -12.4     0.1     -2.5     0.3    -0.7     -0.5    -0.5    -0.1 
HRBN        26.9   -13.1     0.6     -1.0    -0.3    -0.2      0.5    -1.1     0.3 
LNHL        29.2   -11.7     1.3     -0.5    -0.2     0.7      0.3    -0.3     0.7 
LNJZ        29.0   -11.9    -0.0     -0.8    -0.2    -0.6     -0.0    -0.5    -0.6 
LNYK        28.6   -12.0     0.9     -0.9    -0.1     0.3     -0.0    -0.4     0.4 
NMAG        27.3   -11.8     1.6     -1.7     0.2     0.9      0.3    -0.2     1.1 
NMAL        27.8   -11.0     1.3     -1.5     0.4     0.6     -0.2     0.4     0.7 
NMDW        27.9   -10.9     0.7     -1.5    -0.2     0.1     -0.0     0.1     0.0 
NMEL        29.5   -10.0     1.3     -0.9    -0.4     0.8      0.3     0.4     0.4 
NMER        24.6   -12.3     0.6     -2.6    -0.0    -0.2     -0.4    -0.5     0.3 
NMWJ        30.2    -9.6     0.7     -1.0    -1.1     0.3     -0.2     0.2    -0.5 
NMWL        27.0   -11.6     0.4     -1.5     0.3    -0.3      0.1    -0.0    -0.0 
NMZL        29.1   -10.6     0.9     -1.1    -0.1     0.4     -0.0     0.2     0.1 
CHBN        27.0   -10.4     0.8     -2.2    -0.2     0.2     -0.4     0.4     0.1 
LNDD        28.8   -11.6     0.2     -0.5     0.7    -0.4      0.3     0.2    -0.2 
-------------------------------------------------------------------------------------
Average      27.5   -11.4     0.6     -1.5     0.0    -0.1     -0.0    -0.1     0.1 
RMS          27.5    11.5     0.8      1.6     0.5     0.7      0.3     0.4     0.5 
H-RMS        29.8      -       -       1.7      -       -       0.5      -       -  
3D-RMS       29.8      -       -       1.8      -       -       0.7      -       -  
