Station          IGS20 (mm/year)         CHN20 (mm/year)         NCH20 (mm/year)  
           Vel_E   Vel_N   Vel_U     Vel_E   Vel_N   Vel_U     Vel_E   Vel_N   Vel_U    
AHBB        31.8   -11.7     0.3      0.7    -1.0    -0.0     -0.6    -0.6    -0.2 
BJFS        31.0   -11.0     0.6      0.5    -0.5     0.1      0.2     0.1    -0.5 
GSPL        34.0    -9.5     1.2      2.0    -1.3     0.9      0.9     0.3    -0.8 
HAJY        32.8   -10.8     0.6      1.3    -1.3     0.3      0.3    -0.3    -0.6 
HELY        31.6   -10.6     1.8      0.6    -0.5     1.4     -0.1     0.2     0.7 
HEYY        31.1   -10.5     0.4      0.4    -0.5    -0.0      0.2     0.4    -0.9 
JIXN        29.4   -10.9     1.1     -0.9    -0.1     0.6     -1.0     0.3     0.2 
JSLS        32.7   -11.9     0.7      1.7    -0.7     0.3      0.2    -0.5     0.5 
JSLY        31.5   -12.1     0.4      0.7    -0.9    -0.1     -0.3    -0.7     0.0 
NMWH        30.9    -9.5     2.3     -0.6    -1.3     2.0     -1.1     0.4     0.2 
SDCY        30.8   -12.2     1.1      0.4    -1.0     0.6     -0.3    -0.8     0.6 
SDJX        32.2   -11.7     0.4      1.2    -1.2     0.0      0.3    -0.7    -0.4 
SDYT        29.7   -12.0     0.6     -0.4    -0.4     0.1     -1.0    -0.5     0.3 
SDZB        30.8   -10.6     0.9      0.2     0.2     0.4     -0.5     0.6     0.2 
SNDF        33.8   -10.5     1.0      2.1    -1.4     0.8      0.8    -0.2    -0.4 
SNFP        33.9   -10.1     1.4      2.1    -1.3     1.2      1.0     0.1    -0.2 
SNHG        33.2    -9.6     1.9      1.6    -0.6     1.6      0.5     0.6     0.3 
SNJY        33.9   -10.3     1.0      2.1    -1.6     0.7      0.9    -0.3    -0.7 
SNLT        33.3    -9.8     1.2      1.5    -1.0     1.0      0.2     0.4    -0.4 
SNSM        31.6    -9.8     1.8      0.4    -0.6     1.4     -0.2     0.6     0.1 
SNYA        30.6   -10.4     1.8     -1.0    -1.5     1.5      0.8    -0.2     0.1 
SXDT        31.1   -10.1     2.0      0.4    -0.3     1.6      0.1     0.7     0.6 
SXGX        32.5   -11.2     1.3      1.2    -1.7     0.9      0.3    -0.7    -0.1 
SXKL        31.9   -10.0     2.6      0.8    -0.6     2.2      0.3     0.5     1.1 
SXLF        33.4   -10.9     2.1      2.0    -1.6     1.8      1.0    -0.4     0.7 
SXLQ        31.6   -10.9     1.4      0.8    -0.9     0.9      0.5    -0.1     0.1 
SXXX        32.3   -10.3     1.2      0.8    -1.0     0.9     -0.3     0.1    -0.2 
SXYC        31.0   -11.4     1.1     -0.1    -1.7     0.7     -0.7    -0.7    -0.2 
TJBD        30.2   -11.7     0.2     -0.1    -1.0    -0.3     -0.4    -0.5    -0.7 
TAIN        31.5   -11.5     1.2      0.7    -0.8     0.8     -0.1    -0.4     0.5 
YANC        32.5    -9.3     1.2      0.8    -0.9     0.9      0.0     0.7    -0.7 
ZJZS        32.5   -12.2    -0.6      1.6    -0.5    -1.0     -0.1    -0.6    -0.4 
MA04        30.7   -12.2     0.2      0.6     0.4    -0.4     -0.7    -0.2     0.7 
SOC1        29.4   -11.9    -0.2     -0.2     0.4    -0.8     -0.8    -0.0    -0.1 
KUSN        30.1   -11.6    -0.7      0.5     1.1    -1.3     -0.4     0.4    -0.3 
GAG1        30.3   -12.6     0.7      0.2    -0.2     0.1      0.1    -0.2     0.2 
PAL4        29.3   -10.8    -0.7     -0.1     1.8    -1.3     -0.8     1.2    -0.4 
OSN4        29.9   -11.1    -0.0      0.5     1.6    -0.7     -0.2     0.9     0.3 
-------------------------------------------------------------------------------------
Average      31.6   -10.9     0.9      0.7    -0.6     0.5     -0.0    -0.0    -0.0 
RMS          31.6    11.0     1.2      1.1     1.0     1.0      0.6     0.5     0.5 
H-RMS        33.5      -       -       1.5      -       -       0.8      -       -  
3D-RMS       33.5      -       -       1.8      -       -       0.9      -       -  
