Station          IGS20 (mm/year)         CHN20 (mm/year)         SCH20 (mm/year)  
           Vel_E   Vel_N   Vel_U     Vel_E   Vel_N   Vel_U     Vel_E   Vel_N   Vel_U    
AHAQ        33.0   -11.7     0.3      1.7    -1.1     0.0      0.0     0.4    -0.1 
COA1        33.0   -11.2     0.1      1.2    -1.4    -0.0     -0.5     0.0    -0.3 
CQCS        34.5    -9.4     0.3      2.3    -1.2     0.2      0.5     0.2    -0.4 
FJPT        31.8   -11.8     0.1      0.5    -0.6    -0.2     -1.1     0.9    -0.1 
FJWY        32.8   -11.8     1.0      1.4    -1.0     0.7     -0.3     0.5     0.6 
FJXP        32.7   -12.0     0.4      1.5    -0.7     0.1     -0.1     0.8     0.2 
GDSG        33.0   -11.3     0.2      1.1    -1.5     0.1     -0.5    -0.1    -0.2 
GDZH        33.0   -11.3    -0.3      1.2    -1.5    -0.4     -0.5    -0.1     0.6 
GDZJ        32.8   -11.1    -0.2      0.8    -2.1    -0.2     -0.7    -0.7    -0.1 
GXBH        33.1   -10.4     0.9      1.1    -1.6     0.9     -0.7    -0.4     0.5 
GXBS        34.1    -9.9     0.9      0.5    -1.6     0.8      0.1    -0.5     0.3 
GXHC        34.0   -10.1     0.5      1.8    -1.6     0.5     -0.0    -0.3    -0.0 
GXNN        33.4    -9.9     0.7      1.3    -1.4     0.8     -0.5    -0.1     0.2 
GZFG        35.0   -10.0     0.5      2.8    -1.6     0.4      1.0    -0.2    -0.1 
GZGY        34.0    -9.6     0.4      1.7    -1.5     0.4     -0.1    -0.2    -0.2 
GZSC        34.2    -9.2     0.5      1.8    -1.5     0.5     -0.0    -0.3    -0.1 
HBES        34.0   -10.5    -0.8      2.0    -1.7    -1.0      0.2    -0.3    -1.4 
HBJM        33.8   -11.0     1.0      2.1    -1.5     0.7      0.4    -0.1     0.6 
HBXF        33.5   -10.5    -0.3      1.8    -1.0    -0.5      0.1     0.4    -0.8 
HBZG        33.4    -9.8     1.4      1.5    -0.6     1.2     -0.2     0.8     0.9 
HKTK        33.0   -11.5     0.4      1.3    -1.6     0.3     -0.4    -0.2     0.1 
HNLY        33.1   -10.9     0.5      1.3    -1.1     0.3     -0.4     0.3     0.1 
HNMY        33.5   -10.4     0.6      1.4    -1.5     0.4     -0.4    -0.1     0.0 
JFNG        33.1   -11.4     0.4      1.5    -1.4     0.1     -0.2     0.1    -0.1 
JXJA        33.2   -11.7     0.3      1.5    -1.5     0.1     -0.2    -0.1    -0.1 
KMNM        32.4   -12.0     0.4      1.0    -1.1     0.2     -0.4     0.4     0.1 
LUZH        35.1    -9.7     0.3      2.8    -1.9     0.2      1.2    -0.6    -0.4 
MAT3        31.8   -12.4     0.1      0.5    -1.1    -0.2     -1.1     0.4    -0.2 
SCBZ        34.3    -9.6     0.7      2.1    -1.4     0.6      0.3     0.1     0.0 
SCJU        33.7    -8.8     0.9      1.3    -1.2     0.9      0.1     0.0     0.1 
SCNC        33.8    -9.9     1.0      1.5    -1.9     0.9     -0.3    -0.6     0.4 
SCSN        33.8    -9.0     0.3      1.5    -1.2     0.2     -0.4     0.0    -0.4 
SCMB        34.9    -9.0     0.3      2.4    -1.6     0.3      0.5    -0.4    -0.4 
SNAK        33.8   -10.6     1.2      1.8    -2.0     1.0      0.1    -0.6     0.6 
SNBH        34.0   -10.1     0.4      2.1    -1.2     0.1      0.4     0.3    -0.2 
SNTB        34.5    -9.9     1.2      2.5    -1.6     1.0      0.7    -0.2     0.5 
ZJJD        32.8   -12.2     0.8      1.6    -1.1     0.4     -0.0     0.4     0.4 
ZJWZ        32.6   -12.4    -0.1      1.5    -1.0    -0.5     -0.1     0.5    -0.4 
-------------------------------------------------------------------------------------
Average      33.5   -10.6     0.5      1.6    -1.4     0.3     -0.1     0.0     0.0 
RMS          33.5    10.7     0.6      1.7     1.4     0.6      0.5     0.4     0.4 
H-RMS        35.2      -       -       2.2      -       -       0.6      -       -  
3D-RMS       35.2      -       -       2.3      -       -       0.8      -       -  
